iter	RMSE
0	14.5946036
1	14.13813545
2	13.65326774
3	13.2338323
4	12.83390168
5	12.45604407
6	12.08614619
7	11.73191264
8	11.42057119
9	11.09189504
10	10.77981637
11	10.4705269
12	10.23572474
13	9.981351773
14	9.721984525
15	9.471938778
16	9.233883664
17	9.042312872
18	8.825144626
19	8.625330928
20	8.45654303
21	8.285375811
22	8.115337732
23	7.963054892
24	7.824271506
25	7.701849895
26	7.573081517
27	7.446092665
28	7.341899956
29	7.235532161
30	7.1263668
31	7.032600292
32	6.944359104
33	6.858555632
34	6.766482748
35	6.684935064
36	6.607009109
37	6.539585836
38	6.472763608
39	6.407184339
40	6.353854485
41	6.311219644
42	6.252677332
43	6.208370797
44	6.157855587
45	6.112314669
46	6.061994678
47	6.015835058
48	5.976668503
49	5.936324971
50	5.895733579
51	5.861506606
52	5.824480338
53	5.786820739
54	5.752612551
55	5.726295779
56	5.700142476
57	5.675809215
58	5.649046964
59	5.62739657
60	5.606428702
61	5.581339727
62	5.557441853
63	5.534515576
64	5.512938666
65	5.49328732
66	5.46958881
67	5.449629907
68	5.438501952
69	5.419090348
70	5.404378528
71	5.387024902
72	5.371641767
73	5.356995631
74	5.341466828
75	5.328925052
76	5.318922638
77	5.308210202
78	5.296834086
79	5.285056126
80	5.275784288
81	5.267422195
82	5.257860912
83	5.246943056
84	5.232027809
85	5.219873039
86	5.21149018
87	5.20478258
88	5.194577148
89	5.185598168
90	5.177018674
91	5.171485253
92	5.164044973
93	5.154489027
94	5.148166441
95	5.139640338
96	5.13428563
97	5.129429235
98	5.119850871
99	5.110721166
