iter	Passed	Remaining
0	49	49031
1	50	24951
2	50	16881
3	51	12838
4	52	10411
5	53	8793
6	53	7636
7	54	6768
8	55	6091
9	56	5551
10	56	5121
11	58	4778
12	58	4468
13	59	4211
14	60	3980
15	61	3781
16	62	3607
17	63	3488
18	64	3349
19	66	3256
20	67	3149
21	68	3053
22	69	2958
23	71	2892
24	71	2806
25	72	2724
26	73	2649
27	74	2580
28	75	2526
29	76	2466
30	77	2412
31	78	2362
32	78	2312
33	79	2266
34	80	2220
35	81	2178
36	82	2140
37	83	2103
38	83	2066
39	84	2031
40	85	1998
41	86	1970
42	87	1942
43	88	1916
44	89	1890
45	89	1864
46	90	1840
47	91	1816
48	92	1792
49	93	1771
50	93	1748
51	94	1727
52	95	1706
53	96	1685
54	96	1666
55	97	1647
56	98	1628
57	99	1609
58	99	1592
59	100	1576
60	101	1561
61	102	1546
62	103	1532
63	103	1518
64	104	1507
65	105	1497
66	106	1484
67	107	1473
68	108	1462
69	109	1449
70	109	1437
71	110	1424
72	111	1412
73	112	1401
74	113	1393
75	113	1382
76	114	1371
77	115	1361
78	115	1350
79	116	1340
80	117	1331
81	118	1321
82	118	1308
83	119	1301
84	120	1293
85	120	1284
86	121	1276
87	122	1268
88	123	1260
89	123	1252
90	124	1244
91	125	1236
92	126	1229
93	126	1221
94	127	1214
95	128	1206
96	128	1200
97	129	1194
98	130	1187
99	131	1180
100	131	1173
101	132	1167
102	133	1160
103	134	1156
104	135	1151
105	135	1145
106	136	1140
107	137	1134
108	138	1129
109	138	1123
110	139	1118
111	140	1113
112	141	1109
113	142	1103
114	142	1097
115	143	1091
116	143	1085
117	144	1079
118	145	1073
119	145	1067
120	146	1062
121	146	1057
122	147	1052
123	148	1047
124	148	1041
125	149	1036
126	149	1030
127	150	1025
128	151	1021
129	151	1017
130	152	1012
131	153	1007
132	153	1002
133	154	997
134	155	993
135	155	989
136	156	984
137	156	978
138	157	973
139	157	968
140	158	963
141	158	958
142	159	953
143	159	949
144	160	944
145	160	939
146	161	934
147	161	929
148	161	924
149	162	919
150	162	914
151	163	909
152	163	905
153	163	900
154	164	895
155	164	891
156	165	887
157	165	882
158	166	878
159	166	874
160	167	870
161	167	866
162	167	862
163	168	857
164	168	853
165	169	849
166	169	845
167	169	840
168	170	836
169	170	832
170	170	828
171	171	824
172	171	820
173	172	816
174	172	812
175	172	808
176	173	804
177	173	801
178	173	797
179	174	793
180	174	789
181	174	785
182	175	781
183	175	778
184	175	774
185	176	770
186	176	766
187	176	763
188	177	759
189	177	756
190	177	752
191	178	749
192	178	745
193	178	742
194	178	738
195	179	735
196	179	732
197	180	730
198	180	726
199	180	723
200	181	720
201	181	717
202	182	714
203	182	711
204	182	708
205	183	705
206	183	703
207	184	700
208	184	698
209	184	695
210	185	692
211	185	690
212	186	687
213	186	684
214	186	681
215	187	679
216	187	676
217	187	674
218	188	671
219	188	669
220	189	666
221	189	663
222	189	661
223	190	658
224	190	655
225	190	653
226	191	650
227	191	648
228	191	645
229	192	642
230	192	640
231	192	637
232	193	635
233	193	633
234	193	630
235	194	628
236	194	625
237	194	623
238	195	621
239	195	618
240	195	616
241	196	614
242	196	611
243	196	609
244	197	607
245	197	605
246	197	602
247	198	600
248	198	598
249	198	596
250	199	593
251	199	591
252	199	589
253	200	587
254	200	585
255	200	583
256	201	581
257	201	579
258	201	576
259	201	574
260	202	573
261	202	571
262	203	569
263	203	567
264	203	565
265	204	563
266	204	561
267	204	559
268	205	557
269	205	555
270	205	553
271	206	551
272	206	549
273	206	548
274	207	546
275	207	544
276	207	542
277	208	540
278	208	539
279	208	537
280	209	535
281	209	533
282	209	531
283	210	530
284	210	528
285	210	526
286	211	525
287	211	523
288	212	522
289	212	520
290	212	518
291	213	517
292	213	515
293	213	513
294	214	512
295	214	511
296	215	509
297	215	508
298	216	506
299	216	504
300	216	503
301	217	501
302	217	500
303	217	498
304	218	496
305	218	495
306	218	493
307	219	492
308	219	490
309	219	489
310	220	487
311	220	486
312	220	484
313	221	482
314	221	481
315	221	479
316	221	478
317	222	476
318	222	475
319	222	473
320	223	472
321	223	470
322	223	469
323	224	467
324	224	466
325	224	465
326	225	463
327	225	462
328	226	460
329	226	459
330	226	458
331	227	456
332	227	455
333	227	454
334	228	452
335	228	451
336	228	450
337	229	448
338	229	447
339	229	446
340	230	444
341	230	443
342	230	442
343	231	440
344	231	439
345	231	438
346	232	436
347	232	436
348	233	435
349	233	434
350	234	433
351	234	431
352	234	430
353	235	429
354	235	427
355	235	426
356	236	425
357	236	424
358	236	422
359	237	421
360	237	420
361	237	419
362	238	418
363	238	416
364	238	415
365	239	414
366	239	413
367	239	411
368	240	410
369	240	409
370	240	408
371	241	407
372	241	406
373	241	404
374	242	403
375	242	403
376	243	402
377	243	401
378	244	399
379	244	398
380	244	397
381	245	396
382	245	395
383	245	394
384	246	393
385	246	392
386	247	391
387	247	390
388	247	389
389	248	388
390	248	386
391	248	385
392	249	384
393	249	383
394	249	382
395	250	381
396	250	380
397	250	379
398	251	378
399	251	377
400	251	376
401	252	375
402	252	373
403	252	372
404	253	371
405	253	370
406	253	369
407	254	368
408	254	367
409	254	366
410	255	365
411	255	364
412	255	363
413	256	362
414	256	361
415	256	360
416	257	359
417	257	358
418	258	357
419	258	356
420	258	355
421	259	354
422	259	353
423	259	352
424	260	351
425	260	350
426	260	349
427	261	348
428	261	347
429	261	347
430	262	346
431	262	345
432	263	344
433	263	343
434	263	342
435	264	341
436	264	340
437	264	339
438	265	338
439	265	337
440	265	336
441	266	335
442	266	334
443	266	334
444	267	333
445	267	332
446	267	331
447	268	330
448	268	329
449	268	328
450	268	327
451	269	326
452	269	325
453	269	324
454	270	323
455	270	322
456	271	322
457	271	321
458	271	320
459	272	319
460	272	318
461	272	317
462	273	316
463	273	316
464	274	315
465	274	314
466	274	313
467	275	312
468	275	312
469	275	311
470	276	310
471	276	309
472	277	309
473	277	308
474	278	307
475	278	306
476	278	305
477	279	304
478	279	304
479	279	303
480	280	302
481	280	301
482	280	300
483	281	299
484	281	299
485	282	298
486	282	297
487	282	296
488	283	295
489	283	295
490	283	294
491	284	293
492	284	292
493	284	291
494	285	291
495	285	290
496	286	289
497	286	288
498	286	287
499	287	287
500	287	286
501	287	285
502	288	284
503	288	283
504	288	283
505	289	282
506	289	281
507	290	280
508	290	280
509	290	279
510	291	278
511	291	277
512	291	276
513	292	276
514	292	275
515	292	274
516	293	273
517	293	272
518	293	272
519	293	271
520	294	270
521	294	269
522	295	269
523	295	268
524	295	267
525	295	266
526	296	265
527	296	265
528	296	264
529	297	263
530	297	262
531	297	262
532	298	261
533	298	260
534	298	259
535	299	259
536	299	258
537	300	257
538	300	256
539	300	256
540	300	255
541	301	254
542	301	253
543	302	253
544	302	252
545	302	251
546	303	250
547	303	250
548	303	249
549	304	249
550	304	248
551	305	247
552	305	247
553	305	246
554	306	245
555	306	244
556	307	244
557	307	243
558	307	242
559	308	242
560	308	241
561	308	240
562	309	239
563	309	239
564	309	238
565	310	237
566	310	237
567	310	236
568	311	235
569	311	234
570	311	234
571	312	233
572	312	232
573	312	232
574	313	231
575	313	230
576	313	229
577	314	229
578	314	228
579	314	227
580	314	227
581	315	226
582	315	225
583	315	225
584	316	224
585	316	223
586	316	223
587	317	222
588	317	221
589	317	220
590	318	220
591	318	219
592	318	218
593	319	218
594	319	217
595	319	216
596	320	216
597	320	215
598	320	214
599	321	214
600	321	213
601	321	212
602	322	212
603	322	211
604	322	210
605	323	210
606	323	209
607	323	208
608	324	208
609	324	207
610	325	207
611	325	206
612	325	205
613	326	205
614	326	204
615	326	203
616	327	203
617	327	202
618	327	201
619	328	201
620	328	200
621	328	199
622	328	199
623	329	198
624	329	197
625	329	197
626	330	196
627	330	195
628	330	195
629	331	194
630	331	193
631	331	193
632	332	192
633	332	191
634	332	191
635	333	190
636	333	190
637	333	189
638	334	188
639	334	188
640	334	187
641	335	187
642	335	186
643	336	185
644	336	185
645	337	184
646	337	184
647	337	183
648	338	182
649	338	182
650	338	181
651	339	180
652	339	180
653	339	179
654	340	179
655	340	178
656	340	178
657	341	177
658	341	176
659	341	176
660	342	175
661	342	174
662	342	174
663	343	173
664	343	173
665	344	172
666	344	172
667	345	171
668	345	170
669	345	170
670	346	169
671	346	169
672	346	168
673	347	167
674	347	167
675	347	166
676	348	166
677	348	165
678	348	164
679	349	164
680	349	163
681	349	163
682	350	162
683	350	161
684	350	161
685	351	160
686	351	160
687	351	159
688	352	158
689	352	158
690	352	157
691	353	157
692	353	156
693	353	155
694	354	155
695	354	154
696	354	154
697	355	153
698	355	153
699	355	152
700	356	151
701	356	151
702	356	150
703	357	150
704	357	149
705	358	149
706	358	148
707	358	147
708	359	147
709	359	146
710	359	146
711	360	145
712	360	145
713	360	144
714	361	143
715	361	143
716	361	142
717	362	142
718	362	141
719	362	141
720	363	140
721	363	139
722	363	139
723	364	138
724	364	138
725	364	137
726	365	137
727	365	136
728	365	136
729	366	135
730	366	134
731	367	134
732	367	133
733	367	133
734	368	132
735	368	132
736	368	131
737	369	131
738	369	130
739	369	129
740	370	129
741	370	128
742	370	128
743	371	127
744	371	127
745	371	126
746	372	126
747	372	125
748	372	124
749	373	124
750	373	123
751	373	123
752	374	122
753	374	122
754	374	121
755	375	121
756	375	120
757	375	119
758	376	119
759	376	118
760	376	118
761	377	117
762	377	117
763	377	116
764	378	116
765	378	115
766	378	115
767	379	114
768	379	113
769	379	113
770	380	112
771	380	112
772	380	111
773	381	111
774	381	110
775	381	110
776	382	109
777	382	109
778	382	108
779	383	108
780	383	107
781	383	107
782	384	106
783	384	105
784	384	105
785	385	104
786	385	104
787	385	103
788	386	103
789	386	102
790	386	102
791	387	101
792	387	101
793	387	100
794	388	100
795	388	99
796	388	99
797	389	98
798	389	97
799	389	97
800	390	96
801	390	96
802	390	95
803	391	95
804	391	94
805	391	94
806	392	93
807	392	93
808	392	92
809	393	92
810	393	91
811	393	91
812	394	90
813	394	90
814	394	89
815	395	89
816	395	88
817	395	88
818	396	87
819	396	87
820	396	86
821	397	86
822	397	85
823	398	85
824	398	84
825	398	84
826	399	83
827	399	83
828	400	82
829	400	82
830	400	81
831	401	81
832	401	80
833	401	80
834	402	79
835	402	79
836	403	78
837	403	77
838	403	77
839	404	76
840	404	76
841	404	75
842	405	75
843	405	74
844	405	74
845	406	73
846	406	73
847	407	72
848	407	72
849	407	71
850	408	71
851	408	70
852	408	70
853	409	69
854	409	69
855	410	68
856	410	68
857	410	67
858	411	67
859	411	66
860	411	66
861	412	65
862	412	65
863	412	65
864	413	64
865	413	64
866	414	63
867	414	63
868	414	62
869	415	62
870	415	61
871	415	61
872	416	60
873	416	60
874	416	59
875	417	59
876	417	58
877	417	58
878	418	57
879	418	57
880	418	56
881	419	56
882	419	55
883	419	55
884	420	54
885	420	54
886	420	53
887	421	53
888	421	52
889	421	52
890	422	51
891	422	51
892	422	50
893	423	50
894	423	49
895	423	49
896	424	48
897	424	48
898	424	47
899	425	47
900	425	46
901	425	46
902	426	45
903	426	45
904	426	44
905	427	44
906	427	43
907	427	43
908	428	42
909	428	42
910	428	41
911	429	41
912	429	40
913	430	40
914	430	39
915	430	39
916	431	39
917	431	38
918	431	38
919	432	37
920	432	37
921	432	36
922	433	36
923	433	35
924	433	35
925	434	34
926	434	34
927	434	33
928	435	33
929	435	32
930	435	32
931	436	31
932	436	31
933	436	30
934	437	30
935	437	29
936	437	29
937	438	28
938	438	28
939	438	28
940	439	27
941	439	27
942	439	26
943	440	26
944	440	25
945	440	25
946	441	24
947	441	24
948	441	23
949	442	23
950	442	22
951	442	22
952	443	21
953	443	21
954	444	20
955	444	20
956	444	19
957	445	19
958	445	19
959	445	18
960	446	18
961	446	17
962	446	17
963	447	16
964	447	16
965	447	15
